algorithm, size, time
quickSelect, 1912, 0.005958
quickSelect, 1912, 0.005905
quickSelect, 1912, 0.005820
quickSelect, 1912, 0.005999
quickSelect, 1912, 0.005863
quickSelect, 1912, 0.005814
quickSelect, 1912, 0.005979
quickSelect, 1912, 0.005820
quickSelect, 2133, 0.007304
quickSelect, 2133, 0.007391
quickSelect, 2133, 0.007242
quickSelect, 2133, 0.007403
quickSelect, 2133, 0.007243
quickSelect, 2133, 0.007501
quickSelect, 2133, 0.007262
quickSelect, 2133, 0.007383
quickSelect, 2133, 0.007297
quickSelect, 2133, 0.007273
quickSelect, 2133, 0.007353
quickSelect, 2133, 0.007238
quickSelect, 2133, 0.007406
quickSelect, 2133, 0.007249
quickSelect, 2133, 0.007386
quickSelect, 2133, 0.007238
quickSelect, 2133, 0.007339
quickSelect, 2133, 0.007314
quickSelect, 2133, 0.007241
quickSelect, 2133, 0.007429
quickSelect, 2379, 0.008995
quickSelect, 2379, 0.009187
quickSelect, 2379, 0.009107
quickSelect, 2379, 0.009084
quickSelect, 2379, 0.009120
quickSelect, 2379, 0.009012
quickSelect, 2379, 0.009158
quickSelect, 2379, 0.009039
quickSelect, 2379, 0.009216
quickSelect, 2379, 0.009023
quickSelect, 2379, 0.009215
quickSelect, 2379, 0.009008
quickSelect, 2379, 0.009181
quickSelect, 2379, 0.009031
quickSelect, 2379, 0.009112
quickSelect, 2379, 0.009173
quickSelect, 2379, 0.009065
quickSelect, 2379, 0.009144
quickSelect, 2379, 0.009229
quickSelect, 2379, 0.009140
quickSelect, 2654, 0.011272
quickSelect, 2654, 0.011332
quickSelect, 2654, 0.011339
quickSelect, 2654, 0.011248
quickSelect, 2654, 0.011306
quickSelect, 2654, 0.011369
quickSelect, 2654, 0.011281
quickSelect, 2654, 0.011251
quickSelect, 2654, 0.011351
quickSelect, 2654, 0.011330
quickSelect, 2654, 0.011232
quickSelect, 2654, 0.011394
quickSelect, 2654, 0.011362
quickSelect, 2654, 0.011227
quickSelect, 2654, 0.011451
quickSelect, 2654, 0.011384
quickSelect, 2654, 0.011227
quickSelect, 2654, 0.011435
quickSelect, 2654, 0.011354
quickSelect, 2654, 0.011172
quickSelect, 2960, 0.014088
quickSelect, 2960, 0.014086
quickSelect, 2960, 0.014079
quickSelect, 2960, 0.014096
quickSelect, 2960, 0.014037
quickSelect, 2960, 0.014003
quickSelect, 2960, 0.014003
quickSelect, 2960, 0.014066
quickSelect, 2960, 0.014088
quickSelect, 2960, 0.014146
quickSelect, 2960, 0.014094
quickSelect, 2960, 0.014249
quickSelect, 2960, 0.014799
quickSelect, 2960, 0.014536
quickSelect, 2960, 0.014111
quickSelect, 2960, 0.014050
quickSelect, 2960, 0.014079
quickSelect, 2960, 0.014085
quickSelect, 2960, 0.014253
quickSelect, 2960, 0.014471
quickSelect, 3302, 0.017743
quickSelect, 3302, 0.017584
quickSelect, 3302, 0.017624
quickSelect, 3302, 0.017616
quickSelect, 3302, 0.017512
quickSelect, 3302, 0.017453
quickSelect, 3302, 0.017617
quickSelect, 3302, 0.017552
quickSelect, 3302, 0.017536
quickSelect, 3302, 0.017523
quickSelect, 3302, 0.017812
quickSelect, 3302, 0.017691
quickSelect, 3302, 0.017538
quickSelect, 3302, 0.017483
quickSelect, 3302, 0.017505
quickSelect, 3302, 0.017467
quickSelect, 3302, 0.017477
quickSelect, 3302, 0.017473
quickSelect, 3302, 0.017446
quickSelect, 3302, 0.017504
quickSelect, 3684, 0.021802
quickSelect, 3684, 0.021737
quickSelect, 3684, 0.021668
quickSelect, 3684, 0.021832
quickSelect, 3684, 0.021714
quickSelect, 3684, 0.021643
quickSelect, 3684, 0.021904
quickSelect, 3684, 0.021742
quickSelect, 3684, 0.021755
quickSelect, 3684, 0.021779
quickSelect, 3684, 0.021725
quickSelect, 3684, 0.021737
quickSelect, 3684, 0.021695
quickSelect, 3684, 0.021735
quickSelect, 3684, 0.021737
quickSelect, 3684, 0.021651
quickSelect, 3684, 0.021841
quickSelect, 3684, 0.021693
quickSelect, 3684, 0.021682
quickSelect, 3684, 0.021792
quickSelect, 4109, 0.026969
quickSelect, 4109, 0.027003
quickSelect, 4109, 0.026924
quickSelect, 4109, 0.027040
quickSelect, 4109, 0.027098
quickSelect, 4109, 0.027146
quickSelect, 4109, 0.027150
quickSelect, 4109, 0.027354
quickSelect, 4109, 0.027148
quickSelect, 4109, 0.027394
quickSelect, 4109, 0.027270
quickSelect, 4109, 0.027126
quickSelect, 4109, 0.027265
quickSelect, 4109, 0.027058
quickSelect, 4109, 0.027380
quickSelect, 4109, 0.027129
quickSelect, 4109, 0.027649
quickSelect, 4109, 0.028907
quickSelect, 4109, 0.028728
quickSelect, 4109, 0.027563
quickSelect, 4584, 0.033949
quickSelect, 4584, 0.033970
quickSelect, 4584, 0.033910
quickSelect, 4584, 0.033824
quickSelect, 4584, 0.034256
quickSelect, 4584, 0.033990
quickSelect, 4584, 0.033821
quickSelect, 4584, 0.033801
quickSelect, 4584, 0.033674
quickSelect, 4584, 0.033653
quickSelect, 4584, 0.033970
quickSelect, 4584, 0.033809
quickSelect, 4584, 0.033697
quickSelect, 4584, 0.033755
quickSelect, 4584, 0.033808
quickSelect, 4584, 0.033985
quickSelect, 4584, 0.033844
quickSelect, 4584, 0.033865
quickSelect, 4584, 0.033863
quickSelect, 4584, 0.033771
quickSelect, 5113, 0.042035
quickSelect, 5113, 0.041866
quickSelect, 5113, 0.042042
quickSelect, 5113, 0.041854
quickSelect, 5113, 0.041939
quickSelect, 5113, 0.042980
quickSelect, 5113, 0.042829
quickSelect, 5113, 0.041859
quickSelect, 5113, 0.042142
quickSelect, 5113, 0.041886
quickSelect, 5113, 0.042176
quickSelect, 5113, 0.042079
quickSelect, 5113, 0.041902
quickSelect, 5113, 0.042036
quickSelect, 5113, 0.041900
quickSelect, 5113, 0.041951
quickSelect, 5113, 0.041932
quickSelect, 5113, 0.041969
quickSelect, 5113, 0.041966
quickSelect, 5113, 0.042007
quickSelect, 5704, 0.052054
quickSelect, 5704, 0.051991
quickSelect, 5704, 0.051914
quickSelect, 5704, 0.051893
quickSelect, 5704, 0.051810
quickSelect, 5704, 0.051956
quickSelect, 5704, 0.051904
quickSelect, 5704, 0.051982
quickSelect, 5704, 0.051927
quickSelect, 5704, 0.051883
quickSelect, 5704, 0.051864
quickSelect, 5704, 0.051872
quickSelect, 5704, 0.051959
quickSelect, 5704, 0.052201
quickSelect, 5704, 0.052087
quickSelect, 5704, 0.052775
quickSelect, 5704, 0.052309
quickSelect, 5704, 0.052108
quickSelect, 5704, 0.052160
quickSelect, 5704, 0.052217
quickSelect, 6362, 0.065528
quickSelect, 6362, 0.072035
quickSelect, 6362, 0.068320
quickSelect, 6362, 0.071015
quickSelect, 6362, 0.082406
quickSelect, 6362, 0.070687
quickSelect, 6362, 0.066560
quickSelect, 6362, 0.067002
quickSelect, 6362, 0.071052
quickSelect, 6362, 0.065356
quickSelect, 6362, 0.071834
quickSelect, 6362, 0.065138
quickSelect, 6362, 0.064915
quickSelect, 6362, 0.064698
quickSelect, 6362, 0.064792
quickSelect, 6362, 0.065060
quickSelect, 6362, 0.064982
quickSelect, 6362, 0.064941
quickSelect, 6362, 0.065065
quickSelect, 6362, 0.065192
quickSelect, 7097, 0.080303
quickSelect, 7097, 0.080315
quickSelect, 7097, 0.080433
quickSelect, 7097, 0.080217
quickSelect, 7097, 0.080283
quickSelect, 7097, 0.080221
quickSelect, 7097, 0.080251
quickSelect, 7097, 0.080802
quickSelect, 7097, 0.081024
quickSelect, 7097, 0.080628
quickSelect, 7097, 0.080667
quickSelect, 7097, 0.080736
quickSelect, 7097, 0.081801
quickSelect, 7097, 0.081832
quickSelect, 7097, 0.082101
quickSelect, 7097, 0.083847
quickSelect, 7097, 0.081447
quickSelect, 7097, 0.080718
quickSelect, 7097, 0.083456
quickSelect, 7097, 0.081201
quickSelect, 7917, 0.100737
quickSelect, 7917, 0.099962
quickSelect, 7917, 0.099724
quickSelect, 7917, 0.100917
quickSelect, 7917, 0.100288
quickSelect, 7917, 0.101148
quickSelect, 7917, 0.100832
quickSelect, 7917, 0.100138
quickSelect, 7917, 0.099825
quickSelect, 7917, 0.100216
quickSelect, 7917, 0.100817
quickSelect, 7917, 0.100044
quickSelect, 7917, 0.100399
quickSelect, 7917, 0.100350
quickSelect, 7917, 0.099877
quickSelect, 7917, 0.099834
quickSelect, 7917, 0.100079
quickSelect, 7917, 0.099877
quickSelect, 7917, 0.100094
quickSelect, 7917, 0.099881
quickSelect, 8831, 0.124124
quickSelect, 8831, 0.124091
quickSelect, 8831, 0.123949
quickSelect, 8831, 0.123726
quickSelect, 8831, 0.123725
quickSelect, 8831, 0.123645
quickSelect, 8831, 0.123773
quickSelect, 8831, 0.123821
quickSelect, 8831, 0.123993
quickSelect, 8831, 0.123620
quickSelect, 8831, 0.124066
quickSelect, 8831, 0.123778
quickSelect, 8831, 0.123775
quickSelect, 8831, 0.123800
quickSelect, 8831, 0.123830
quickSelect, 8831, 0.123730
quickSelect, 8831, 0.123826
quickSelect, 8831, 0.124060
quickSelect, 8831, 0.123901
quickSelect, 8831, 0.123687
quickSelect, 9851, 0.154193
quickSelect, 9851, 0.153966
quickSelect, 9851, 0.153873
quickSelect, 9851, 0.153889
quickSelect, 9851, 0.153999
quickSelect, 9851, 0.159103
quickSelect, 9851, 0.154366
quickSelect, 9851, 0.153854
quickSelect, 9851, 0.153743
quickSelect, 9851, 0.153823
quickSelect, 9851, 0.153944
quickSelect, 9851, 0.153861
quickSelect, 9851, 0.153779
quickSelect, 9851, 0.154156
quickSelect, 9851, 0.153783
quickSelect, 9851, 0.153856
quickSelect, 9851, 0.153714
quickSelect, 9851, 0.154507
quickSelect, 9851, 0.153877
quickSelect, 9851, 0.153973
quickSelect, 10989, 0.191390
quickSelect, 10989, 0.191222
quickSelect, 10989, 0.191238
quickSelect, 10989, 0.191185
quickSelect, 10989, 0.191296
quickSelect, 10989, 0.191305
quickSelect, 10989, 0.191304
quickSelect, 10989, 0.191126
quickSelect, 10989, 0.191422
quickSelect, 10989, 0.191134
quickSelect, 10989, 0.191578
quickSelect, 10989, 0.191164
quickSelect, 10989, 0.191249
quickSelect, 10989, 0.191362
quickSelect, 10989, 0.192507
quickSelect, 10989, 0.191294
quickSelect, 10989, 0.191392
quickSelect, 10989, 0.194858
quickSelect, 10989, 0.191367
quickSelect, 10989, 0.191594
quickSelect, 12258, 0.237855
quickSelect, 12258, 0.238031
quickSelect, 12258, 0.237732
quickSelect, 12258, 0.237846
quickSelect, 12258, 0.237767
quickSelect, 12258, 0.237925
quickSelect, 12258, 0.237894
quickSelect, 12258, 0.238124
quickSelect, 12258, 0.237752
quickSelect, 12258, 0.237944
quickSelect, 12258, 0.237772
quickSelect, 12258, 0.237798
quickSelect, 12258, 0.237804
quickSelect, 12258, 0.238006
quickSelect, 12258, 0.237688
quickSelect, 12258, 0.238006
quickSelect, 12258, 0.239061
quickSelect, 12258, 0.238056
quickSelect, 12258, 0.237638
